02/23/2017 02:22:34 PM,Department of Health and Mental Hygiene,Food Establishment,Kitchen/Food Prep Area,11366,QUEENS,40.72831718797036,-73.78392480456014
02/23/2017 12:17:42 PM,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,11005,QUEENS,40.7593036088665,-73.71380375305621
02/25/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11377,QUEENS,40.73716290111448,-73.90561340198663
02/27/2017 06:06:24 PM,Department of Health and Mental Hygiene,Indoor Air Quality,Ventilation,11213,BROOKLYN,40.663581623650984,-73.93378564087965
03/02/2017 10:50:58 AM,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),10026,MANHATTAN,40.80185553707784,-73.95353199796624
03/14/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,11377,QUEENS,40.739516590280346,-73.8976531195819
03/20/2017 05:03:14 PM,Department of Health and Mental Hygiene,Unleashed Dog,Unleashed Dog in Public,11367,QUEENS,40.72560383660985,-73.82870697682573
03/23/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11233,BROOKLYN,40.67378816176254,-73.90796344928464
03/24/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11233,BROOKLYN,40.67929111952938,-73.9110492312725
04/03/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11216,BROOKLYN,40.671717936328605,-73.95196079744551
04/07/2017 12:00:00 AM,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,10003,MANHATTAN,40.729430327202074,-73.98597192184135
04/07/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,11102,QUEENS,40.77103659668545,-73.92536789170738
04/06/2017 12:00:00 AM,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11221,BROOKLYN,40.685464120214256,-73.93105966179871
